location,villiage,MRT_min_distance,MRT_count_500,MRT_count_1000,mall_distance500,mall_distance1000,school_distance500,school_distance1000,school_distance1500,spot_distance_1000,spot_distance_2000,spot_distance_3000,spot_distance_4000,spot_distance_5000,pop_total,male_ratio,female_ratio,pop_density,average_age,pop_20_59,pop_ratio_20_59,pop_ratio_0_4,pop_ratio_5_9,pop_ratio_10_14,pop_ratio_15_19,pop_ratio_20_24,pop_ratio_25_29,pop_ratio_30_34,pop_ratio_35_39,pop_ratio_40_44,pop_ratio_45_49,pop_ratio_50_54,pop_ratio_55_59,pop_ratio_60_64,pop_ratio_65_69,pop_ratio_70_74,pop_ratio_75_79,pop_ratio_80_84,pop_ratio_85_89,pop_ratio_90_94,pop_ratio_95_99,pop_ratio_100_up,doctorate,master,bachelor,high_school,junior_high_school,elementary_school,self-taught,illiterate,median_income,buying_power_index,index_of_retail_saturation,rental_cost,success
迷客夏農安店,,0.7,0,4,0,0,3,10,14,3,13,17,27,46,5068,0.433307024,0.566692976,38310.23299,43.59832969,3004,0.597335454,0.05885862,0.037582024,0.020878902,0.03121893,0.039172798,0.055080533,0.078942136,0.095645258,0.09186717,0.079936369,0.080135216,0.076555975,0.080930603,0.065221714,0.038377411,0.030224697,0.019685822,0.012527341,0.005368861,0.001391927,0.000397693,0.012390178,0.103852219,0.499887362,0.247803559,0.067582789,0.063527822,0.002478036,0.002478036,723,0.091203468,450445974.8,446,1
迷客夏遼寧店,,0.6,0,5,1,7,1,3,5,1,7,14,33,48,6198,0.461923201,0.538076799,21331.73117,45.23009709,3361,0.543851133,0.041262136,0.043042071,0.027508091,0.037702265,0.053236246,0.059223301,0.059223301,0.082038835,0.068446602,0.065857605,0.072815534,0.083009709,0.086245955,0.082524272,0.048058252,0.034304207,0.027346278,0.018770227,0.007443366,0.001779935,0.000161812,0.016578612,0.141009291,0.526689743,0.203497905,0.061577701,0.048096192,0.00072873,0.001821825,824,0.091203468,450445974.8,1235.333333,1
迷客夏錦洲店,,0.5,2,3,0,1,0,4,4,1,7,13,25,42,6989,0.472742882,0.527257118,40780.77098,43.85302796,3978,0.558943375,0.046367852,0.040044963,0.038639876,0.037937333,0.050864128,0.059013629,0.063369397,0.085991288,0.075593649,0.074610089,0.071659407,0.077841787,0.080370943,0.073345511,0.049037516,0.03105241,0.02065477,0.015455951,0.005901363,0.001967121,0.000281017,0.01654087,0.139874739,0.528023125,0.213425405,0.050746748,0.048659065,0.000963546,0.001766501,807,0.091203468,450445974.8,1063.666667,1
迷客夏伊通店,,0.2,1,2,0,3,2,5,6,0,11,17,32,52,3703,0.466648663,0.533351337,14900.94973,42.2590441,2056,0.542909955,0.041721679,0.057037233,0.055452865,0.048323211,0.053076314,0.052548191,0.056245049,0.07525746,0.078162134,0.083443359,0.079746501,0.064430948,0.071296541,0.063374703,0.043570108,0.029046739,0.02297333,0.013203063,0.007657777,0.003168735,0.000264061,0.013112707,0.122073057,0.543552919,0.216047456,0.053699657,0.050577584,0,0.000936622,719,0.091203468,450445974.8,957.6666667,1
迷客夏台北車站店,,1,0,5,5,9,0,6,8,4,19,29,38,46,3488,0.482798165,0.517201835,5667.284767,40.01035971,1877,0.540143885,0.05352518,0.061294964,0.069928058,0.05323741,0.049496403,0.046330935,0.056978417,0.084028777,0.09323741,0.075395683,0.071942446,0.062733813,0.058129496,0.06647482,0.034244604,0.025035971,0.019856115,0.011223022,0.005755396,0.001151079,0,0.022943876,0.140840099,0.533003883,0.218496294,0.049064596,0.032474409,0.000705965,0.002470879,795,0.062155041,360062293.6,736,1
迷客夏南陽店,,0.5,1,4,4,8,0,6,9,6,22,28,38,45,3488,0.482798165,0.517201835,5667.284767,40.01035971,1877,0.540143885,0.05352518,0.061294964,0.069928058,0.05323741,0.049496403,0.046330935,0.056978417,0.084028777,0.09323741,0.075395683,0.071942446,0.062733813,0.058129496,0.06647482,0.034244604,0.025035971,0.019856115,0.011223022,0.005755396,0.001151079,0,0.022943876,0.140840099,0.533003883,0.218496294,0.049064596,0.032474409,0.000705965,0.002470879,795,0.062155041,360062293.6,708.3333333,1
迷客夏南昌店,,0.3,1,3,0,0,0,6,9,3,18,28,35,39,12032,0.481964761,0.518035239,50027.55451,38.68065446,6391,0.541793828,0.036961682,0.072397423,0.097575449,0.059681248,0.053238386,0.045015259,0.046625975,0.070532384,0.098762292,0.090708715,0.074771109,0.062139708,0.054425229,0.049677857,0.033316378,0.019752458,0.016785351,0.010342489,0.004662597,0.00245846,0.000169549,0.029182255,0.186424372,0.532228755,0.180117584,0.034633886,0.035275254,0.000855158,0.001282737,997,0.062155041,360062293.6,539.3333333,1
迷客夏公館店,,0.2,1,1,0,1,2,4,5,3,6,8,15,31,3050,0.462622951,0.537377049,7738.452565,44.2791223,1696,0.547273314,0.053565666,0.045821233,0.031945789,0.037431429,0.043239755,0.054856405,0.062278154,0.088738303,0.078735076,0.064859632,0.080671184,0.073894805,0.072281381,0.06195547,0.051629558,0.044207809,0.028396257,0.014198128,0.008067118,0.002258793,0.000968054,0.031575037,0.135586924,0.482912333,0.202451709,0.06872214,0.072808321,0.001857355,0.004086181,742,0.062155041,360062293.6,1577.666667,1
迷客夏虎林店,,0.1,1,2,0,0,0,6,8,1,10,10,12,16,7950,0.467672956,0.532327044,47542.3891,41.5002457,4426,0.543734644,0.055159705,0.061302211,0.050982801,0.042628993,0.045208845,0.054054054,0.062530713,0.07985258,0.088452088,0.07014742,0.067813268,0.075675676,0.072727273,0.067076167,0.038574939,0.028501229,0.02027027,0.012039312,0.005282555,0.001597052,0.00012285,0.017854508,0.14800059,0.552309281,0.189907039,0.04884167,0.040725985,0.00073779,0.001623137,837,0.087254353,704280209.3,671.3333333,1
迷客夏北醫店,,0.6,0,2,0,6,1,3,7,1,6,8,18,21,5210,0.458349328,0.541650672,24324.73111,43.74334278,2846,0.537488196,0.050236072,0.047403211,0.036071766,0.045325779,0.04891407,0.057223796,0.063078376,0.085174693,0.062322946,0.060623229,0.079508971,0.080642115,0.078375826,0.072143532,0.050802644,0.034183192,0.020396601,0.015675165,0.007365439,0.003399433,0.001133144,0.016568563,0.137780685,0.551994768,0.193808589,0.047307608,0.046871594,0.002180074,0.003488119,874,0.087254353,704280209.3,1751.666667,1
