購物中心,地址,英文地址,經緯度
統一時代百貨台北店,台北市信義區忠孝東路五段8號,"No. 8, Section 5, Zhongxiao East Road, Xinyi District, Taipei City, Taiwan 110","25.0406227, 121.5654586"
微風信義,台北市信義區忠孝東路五段68號,"No. 68, Section 5, Zhongxiao East Road, Xinyi District, Taipei City, Taiwan 110","25.0399434, 121.5668801"
誠品信義店,台北市信義區松高路11號,"No. 11, Songgao Road, Xinyi District, Taipei City, Taiwan 110","25.0397197, 121.5658739"
新光三越信義新天地A4館,台北市信義區松高路19號,"No. 19, Songgao Road, Xinyi District, Taipei City, Taiwan 110","25.0396922, 121.5664837"
新光三越信義新天地A8館,台北市信義區松高路12號,"No. 12, Songgao Road, Xinyi District, Taipei City, Taiwan 110","25.0387489, 121.5666702"
新光三越信義新天地A9館,台北市信義區松壽路9號,"No. 9, Songshou Road, Xinyi District, Taipei City, Taiwan 110","25.0366706, 121.5667018"
新光三越信義新天地A11館,台北市信義區松壽路11號,"No. 11, Songshou Road, Xinyi District, Taipei City, Taiwan 110","25.0365446, 121.5672369"
ATT 4 FUN,台北市信義區松壽路12號,"No. 12, Songshou Road, Xinyi District, Taipei City, Taiwan 110","25.03531, 121.5660665"
信義威秀商場,台北市信義區松壽路20號,"No. 20, Songshou Road, Xinyi District, Taipei City, Taiwan 110","25.0356143, 121.5670983"
Neo 19,台北市信義區松壽路22號,"No. 22, Songshou Road, Xinyi District, Taipei City, Taiwan 110","25.0355031, 121.56786"
BELLAVITA寶麗廣塲,台北市信義區松仁路28號,"No. 28, Songren Road, Xinyi District, Taipei City, Taiwan 110","25.0396219, 121.567641"
遠百信義A13,台北市信義區松仁路58號,"No. 58, Songren Road, Xinyi District, Taipei City, Taiwan 110","25.0368521, 121.5676666"
台北101,台北市信義區信義路五段7號,"No. 7, Section 5, Xinyi Road, Xinyi District, Taipei City, Taiwan 110","25.033976, 121.5645389"
微風南山,台北市信義區松智路17號,"No. 17, Songzhi Road, Xinyi District, Taipei City, Taiwan 110","25.0343073, 121.5659555"
太平洋崇光百貨復興店,台北市大安區忠孝東路三段300號,"No. 300, Section 3, Zhongxiao East Road, Da’an District, Taipei City, Taiwan 106","25.0408932, 121.5432417"
太平洋崇光百貨忠孝店,台北市大安區忠孝東路四段45號,"No. 45, Section 4, Zhongxiao East Road, Da’an District, Taipei City, Taiwan 106","25.0419311, 121.5446558"
明曜百貨,台北市大安區忠孝東路四段200號,"No. 200, Section 4, Zhongxiao East Road, Da’an District, Taipei City, Taiwan 106","25.0412893, 121.5522544"
Bistro 98,台北市大安區忠孝東路四段98號,"No. 98, Section 4, Zhongxiao East Road, Da’an District, Taipei City, Taiwan 106","25.0413305, 121.5462915"
東區地下街,台北市大安區大安路一段77號,"No. 77, Section 1, Da'an Road, Da’an District, Taipei City, Taiwan 106","25.0419631, 121.5463538"
太平洋崇光百貨敦化店,台北市大安區敦化南路一段246號,"No. 246, Section 1, Dunhua South Road, Da’an District, Taipei City, Taiwan 106","25.0330358, 121.5492181"
遠企購物中心,台北市大安區敦化南路二段203號,"No. 203, Section 2, Dunhua South Road, Da’an District, Taipei City, Taiwan 106","25.0263019, 121.5493621"
微風廣場,台北市松山區復興南路一段39號,"No. 39, Section 1, Fuxing South Road, Songshan District, Taipei City, Taiwan 105","25.0460629, 121.5441717"
微風南京,台北市松山區南京東路三段337號,"No. 337, Section 3, Nanjing East Road, Songshan District, Taipei City, Taiwan 105","25.052006, 121.548289"
慶城街1號,台北市松山區慶城街1號,"No. 1, Qingcheng Street, Songshan District, Taipei City, Taiwan 105","25.0528006, 121.544604"
CITYLINK松山壹號店,台北市信義區松山路11號,"No. 11, Songshan Road, Xinyi District, Taipei City, Taiwan 110","25.0491901, 121.5782994"
CITYLINK松山貳號店,台北市松山區市民大道六段131號,"No. 131, Section 6, Civic Blvd., Songshan District, Taipei City, Taiwan 105","25.0496341, 121.5791361"
禮客時尚館內湖一店,台北市內湖區民善街205號,"No. 205, Minshan Street, Neihu District, Taipei City, Taiwan 114","25.064243, 121.57476"
