捷運線,捷運站名,捷運站地址,地址,經緯度
松山新店線,七張,新北市新店區北新路2段150號,"號, No. 150-1, Section 2, Beixin Road, Xindian District, New Taipei City, Taiwan 231","24.9688061, 121.5416954"
中和新蘆線,三和國中,新北市三重區三和路4段107號B1,"B1, No. 107-1, Section 4, Sanhe Road, Sanchong District, New Taipei City, Taiwan 241","25.0773397, 121.4874946"
中和新蘆線,三民高中,新北市蘆洲區三民路105號B1,"B1, No. 105, Sanmin Road, Luzhou District, New Taipei City, Taiwan 247","25.0855962, 121.4729956"
中和新蘆線,三重,新北市三重區捷運路36號B1,"235, Taiwan, New Taipei City, Sanchong District, Jieyun Road, 36號B1","25.05521, 121.4832314"
中和新蘆線,三重國小,新北市三重區三和路3段5號B1,"241, Taiwan, New Taipei City, Sanchong District, Section 3, Sanhe Road, 5號B1樓","25.070742, 121.4966048"
環狀線,中原,新北市中和區板南路510號,"No. 510, Bannan Road, Zhonghe District, New Taipei City, Taiwan 235","25.0084233, 121.4840963"
環狀線,中和,新北市中和區中山路二段271號,"No. 271, Section 2, Zhongshan Road, Zhonghe District, New Taipei City, Taiwan 235","25.0023187, 121.4962667"
淡水信義線,中山,臺北市大同區南京西路16號,"No. 16d, Nanjing West Road, Zhongshan District, Taipei City, Taiwan 10491","25.0521912, 121.5221371"
松山新店線,中山,臺北市大同區南京西路55號,"No. 55, Nanjing West Road, Datong District, Taipei City, Taiwan 103","25.0530487, 121.5194463"
文湖線,中山國中,臺北市中山區復興北路376號,"No. 376, Fuxing North Road, Zhongshan District, Taipei City, Taiwan 10491","25.0608158, 121.5439767"
中和新蘆線,中山國小,臺北市中山區民權東路1段71號B1,"B1, No. 2-1, Section 3, Minquan East Road, Zhongshan District, Taipei City, Taiwan 10491","25.0621587, 121.5375186"
淡水信義線,中正紀念堂,臺北市中正區羅斯福路1段8之1號B1,"10074, Taiwan, Taipei City, Zhongzheng District, Section 1, Roosevelt Rd, 8之1號B1","25.032422, 121.51827"
中和新蘆線,丹鳳,新北市新莊區中正路624之1號B1,"B1, No. 624之1號, Zhongzheng Rd, Xinzhuang District, New Taipei City, Taiwan 238","24.9987924, 121.427967"
