區域別,里名,人口密度
臺北市松山區,莊敬里,2113.750099
臺北市松山區,東榮里,31466.64619
臺北市松山區,三民里,52190.29742
臺北市松山區,新益里,39803.48834
臺北市松山區,富錦里,51618.6777
臺北市松山區,新東里,14302.78099
臺北市松山區,富泰里,80753.4797
臺北市松山區,介壽里,32658.47817
臺北市松山區,精忠里,2040.863879
臺北市松山區,東光里,36700.28739
臺北市松山區,龍田里,49155.80315
臺北市松山區,東昌里,52721.46216
臺北市松山區,東勢里,48066.98058
臺北市松山區,中華里,34232.83702
臺北市松山區,民有里,32054.0844
臺北市松山區,民福里,28816.69785
臺北市松山區,慈祐里,25540.33261
臺北市松山區,安平里,39983.91538
臺北市松山區,鵬程里,42125.60458
臺北市松山區,自強里,60616.66197
臺北市松山區,吉祥里,38172.79124
臺北市松山區,新聚里,51659.36936
臺北市松山區,復盛里,38372.36308
臺北市松山區,中正里,29142.23595
臺北市松山區,中崙里,46722.13223
臺北市松山區,美仁里,17167.70165
臺北市松山區,吉仁里,66381.1756
臺北市松山區,敦化里,50842.49991
臺北市松山區,復源里,63200.17089
臺北市松山區,復建里,53306.22148
臺北市松山區,復勢里,50095.32077
臺北市松山區,福成里,34248.78604
臺北市松山區,松基里,20766.80074
臺北市信義區,西村里,11277.22318
臺北市信義區,正和里,62511.87736
臺北市信義區,興隆里,9831.60615
臺北市信義區,中興里,41947.77893
臺北市信義區,新仁里,5785.717791
臺北市信義區,興雅里,22587.24583
臺北市信義區,敦厚里,47233.80403
臺北市信義區,廣居里,47542.3891
臺北市信義區,安康里,21776.85907
臺北市信義區,六藝里,59296.79864
臺北市信義區,雅祥里,31325.45545
臺北市信義區,五常里,42162.13387
臺北市信義區,五全里,58651.66917
臺北市信義區,永吉里,34489.79021
臺北市信義區,長春里,48236.05931
臺北市信義區,四育里,35502.27464
臺北市信義區,四維里,91564.56765
臺北市信義區,永春里,35679.04807
臺北市信義區,富台里,42872.33055
臺北市信義區,國業里,86635.09842
臺北市信義區,松隆里,2940.089614
臺北市信義區,松友里,33214.10011
臺北市信義區,松光里,43548.13334
臺北市信義區,中坡里,30862.31133
臺北市信義區,中行里,9243.674563
臺北市信義區,大道里,51174.46232
臺北市信義區,大仁里,30004.15455
臺北市信義區,景新里,24324.73111
臺北市信義區,惠安里,17564.39888
臺北市信義區,三張里,30061.10272
臺北市信義區,三犁里,9389.369897
臺北市信義區,六合里,5259.720598
臺北市信義區,泰和里,10936.13298
臺北市信義區,景聯里,40928.84106
臺北市信義區,景勤里,22000.75169
臺北市信義區,雙和里,27458.10897
臺北市信義區,嘉興里,53518.06697
臺北市信義區,黎順里,21555.77686
臺北市信義區,黎平里,52913.88827
臺北市信義區,黎忠里,33207.47732
臺北市信義區,黎安里,2766.050925
臺北市大安區,德安里,39342.74082
臺北市大安區,仁慈里,48192.78817
臺北市大安區,和安里,23851.0938
臺北市大安區,民炤里,32036.15159
臺北市大安區,仁愛里,24636.65638
臺北市大安區,義村里,22201.37333
臺北市大安區,民輝里,19978.20806
臺北市大安區,昌隆里,23095.60327
臺北市大安區,誠安里,38399.76507
臺北市大安區,光武里,38577.14778
臺北市大安區,龍坡里,40804.93914
臺北市大安區,龍泉里,53624.09734
臺北市大安區,古風里,40489.40898
臺北市大安區,古莊里,34216.11974
臺北市大安區,龍安里,48275.73111
臺北市大安區,錦安里,40569.34054
臺北市大安區,福住里,48346.37185
臺北市大安區,永康里,32980.3596
臺北市大安區,光明里,32313.80882
臺北市大安區,錦泰里,29422.78096
臺北市大安區,錦華里,57997.24643
臺北市大安區,龍圖里,30915.63676
臺北市大安區,新龍里,77059.10122
臺北市大安區,龍陣里,39772.50575
臺北市大安區,龍雲里,29709.0724
臺北市大安區,龍生里,56370.10153
臺北市大安區,住安里,37157.85901
臺北市大安區,義安里,30833.01417
臺北市大安區,通化里,52448.8861
臺北市大安區,通安里,45738.53391
臺北市大安區,臨江里,56271.69729
臺北市大安區,法治里,39840.83887
臺北市大安區,全安里,33383.00855
