體制,學校,地址,英文地址,經緯度
一般大學,國立政治大學,臺北市文山區指南路2段64號,"No. 64, Section 2, Zhinan Road, Wenshan District, Taipei City, Taiwan 116","24.9861185, 121.5774023"
一般大學,國立臺灣大學,臺北市大安區羅斯福路4段1號,"No. 1, Section 4, Roosevelt Rd, Da’an District, Taipei City, Taiwan 106","25.0145185, 121.53792"
一般大學,國立臺灣師範大學,臺北市大安區和平東路1段162號,"No. 162, Section 1, Heping East Road, Da’an District, Taipei City, Taiwan 106","25.0264676, 121.5274986"
一般大學,國立陽明大學,臺北市北投區立農街2段155號,"No. 155-1, Section 2, Linong St, Beitou District, Taipei City, Taiwan 112","25.1190232, 121.5143619"
一般大學,國立臺北藝術大學,臺北市北投區學園路1號,"No. 1, Fude Road, Shilin District, Taipei City, Taiwan 111","25.093535, 121.52623"
一般大學,國立臺北教育大學,臺北市和平東路2段134號,"No. 134-3, Section 2, Heping East Road, Da’an District, Taipei City, Taiwan 106","25.0245572, 121.5462911"
一般大學,臺北市立大學,臺北市中正區愛國西路1號,"No. 1, Aiguo West Road, Zhongzheng District, Taipei City, Taiwan 100","25.0356043, 121.5142953"
技專校院,國立臺灣科技大學,臺北市大安區基隆路四段43號,"No. 43, Section 4, Keelung Rd, Da’an District, Taipei City, Taiwan 106","25.0130898, 121.5401282"
技專校院,國立臺北科技大學,臺北市忠孝東路三段1號,"No. 1, Fude Road, Shilin District, Taipei City, Taiwan 111","25.093535, 121.52623"
技專校院,國立臺北護理健康大學,臺北市北投區明德路365號,"No. 365, Mingde Road, Beitou District, Taipei City, Taiwan 112","25.1185042, 121.5210206"
技專校院,國立臺北商業大學,臺北市中正區濟南路一段321號,"No. 321, Section 1, Jinan Road, Zhongzheng District, Taipei City, Taiwan 100","25.0418738, 121.5256558"
技專校院,國立臺灣戲曲學院,臺北市內湖區內湖路二段177號,"No. 177, Section 2, Neihu Road, Neihu District, Taipei City, Taiwan 114","25.0816037, 121.586552"
私立一般大學,東吳大學,臺北市士林區臨溪路70號,"No. 70, Fuguo Road, Shilin District, Taipei City, Taiwan 111","25.1030599, 121.522514"
私立一般大學,中國文化大學,臺北市士林區華岡路55號,"No. 55, Huagang Road, Shilin District, Taipei City, Taiwan 111","25.1362803, 121.5394591"
私立一般大學,世新大學,臺北市文山區木柵路1段17巷1號,"No. 17, Muzha Road, Section 1, Wenshan District, Taipei City, Taiwan 116","24.9884927, 121.5439091"
私立一般大學,銘傳大學,臺北市士林區中山北路5段250號,"No. 250, Section 5, Zhongshan North Road, Shilin District, Taipei City, Taiwan 111","25.0871487, 121.5271566"
私立一般大學,實踐大學,臺北市中山區大直街70號,"No. 70, Fuguo Road, Shilin District, Taipei City, Taiwan 111","25.1030599, 121.522514"
私立一般大學,大同大學,臺北市中山北路3段40號,"No. 40, Section 3, Zhongshan N Rd, Zhongshan District, Taipei City, Taiwan 10491","25.0671544, 121.521804"
私立一般大學,臺北醫學大學,臺北市信義區吳興街250號,"No. 250, Wuxing Street, Xinyi District, Taipei City, Taiwan 110","25.0256312, 121.5619186"
私立一般大學,康寧學校財團法人康寧大學,台北市內湖區康寧路三段75巷137號,"No. 137, Lane 75, Section 3, Kangning Road, Neihu District, Taipei City, Taiwan 114","25.0758234, 121.6100508"
私立技專校院,中國科技大學,臺北市文山區興隆路三段56號,"No. 56, Section 3, Xinglong Road, Wenshan District, Taipei City, Taiwan 116","24.9991318, 121.5554004"
私立技專校院,德明財經科技大學,臺北市內湖區環山路一段56號,"No. 56, Section 3, Xinglong Road, Wenshan District, Taipei City, Taiwan 116","24.9991318, 121.5554004"
私立技專校院,中華學校財團法人中華科技大學,臺北市南港區研究院路三段245號,"No. 245, Section 3, Yanjiuyuan Road, Nangang District, Taipei City, Taiwan 115","25.0335957, 121.6098889"
私立技專校院,城市學校財團法人臺北城市科技大學,臺北市北投區學園路2號,"No. 2, Jingping Road, Zhonghe District, New Taipei City, Taiwan 235","24.9905493, 121.5250505"
私立宗教研修學院,學校財團法人中華浸信會基督教台灣浸會神學院,臺北市吳興街394巷1號,"No. 1, Lane 394, Wuxing Street, Xinyi District, Taipei City, Taiwan 110","25.023742, 121.566763"
私立宗教研修學院,台神學校財團法人台灣神學研究學院,台北市士林區仰德大道二段二巷20號,"No. 20, Lane 2, Section 2, Yangde Boulevard, Shilin District, Taipei City, Taiwan 111","25.1016291, 121.5409864"
高中,國立師大附中,臺北市大安區和安里信義路3段143號,"No. 143, Section 3, Xinyi Road, Da’an District, Taipei City, Taiwan 106","25.0336585, 121.540488"
高中,國立政大附中,臺北市文山區政大一街353號,"No. 353, Zhengda 1st Street, Wenshan District, Taipei City, Taiwan 116","24.9872162, 121.5858297"
高中,市立西松高中,臺北市松山區鵬程里健康路325巷7號,"No. 7, Lane 325, Jiankang Road, Songshan District, Taipei City, Taiwan 105","25.05537, 121.5663535"
高中,市立中崙高中,臺北市八德路四段101號,"No. 101, Section 4, Bade Road, Songshan District, Taipei City, Taiwan 105","25.0487226, 121.5611946"
高中,市立松山高中,臺北市信義區基隆路一段156號,"No. 156, Section 1, Keelung Rd, Xinyi District, Taipei City, Taiwan 110","25.0435047, 121.565387"
高中,市立永春高中,臺北市信義區松隆里松山路654號,"No. 654, Songshan Rd, Xinyi District, Taipei City, Taiwan 110","25.032802, 121.5785567"
高中,市立和平高中,臺北市大安區芳和里臥龍街100號,"No. 100, Section 6, Minquan E Rd, Neihu District, Taipei City, Taiwan 114","25.0687871, 121.5864989"
高中,市立中山女中,臺北市中山區力行里長安東路2段141號,"No. 141, Section 2, Chang'an East Road, Zhongshan District, Taipei City, Taiwan 10491","25.0485124, 121.5372124"
高中,市立大同高中,臺北市中山區中央里長春路167號,"No. 167, Changchun Rd, Zhongshan District, Taipei City, Taiwan 10491","25.0550217, 121.5352722"
高中,市立大直高中,臺北市中山區劍潭里北安路420號,"No. 420, Beian Road, Zhongshan District, Taipei City, Taiwan 10491","25.07886, 121.543375"
高中,市立建國中學,臺北市中正區龍光里南海路56號,"No. 56, Nanhai Road, Zhongzheng District, Taipei City, Taiwan 100","25.0309205, 121.51224"
