類別,景點,景點地址,英文地址,經緯度
夜市老街,士林夜市,台北市士林區大東路13-1號,"No. 13-1, Dadong Road, Shilin District, Taipei City, Taiwan 111","25.0872765, 121.5252202"
夜市老街,饒河街觀光夜市,台北市松山區饒河街253號,"No. 253, Raohe Street, Songshan District, Taipei City, Taiwan 105","25.051007, 121.5775409"
夜市老街,華西街觀光夜市,台北市萬華區華西街117號,"No. 117, Huaxi Street, Wanhua District, Taipei City, Taiwan 108","25.0386368, 121.498466"
夜市老街,西門町商圈,台北市萬華區漢中街50巷9號,"No. 9, Lane 50, Hanzhong Street, Wanhua District, Taipei City, Taiwan 108","25.0441504, 121.5071058"
夜市老街,剝皮寮老街,台北市萬華區康定路173巷,"Lane 173, Kangding Road, Wanhua District, Taipei City, Taiwan 108","25.0368485, 121.5021434"
夜市老街,公館商圈,台北市中正區羅斯福路四段24巷9-1號,"No. 9-1, Lane 24, Section 4, Roosevelt Road, Zhongzheng District, Taipei City, Taiwan 100","25.0154355, 121.5329979"
夜市老街,五分埔商圈,台北市信義區永吉路443巷9弄,"Alley 9, Lane 443, Yongji Road, Xinyi District, Taipei City, Taiwan 110","25.0466229, 121.5788411"
夜市老街,信義商圈,台北市信義區松壽路20號,"No. 20, Songshou Road, Xinyi District, Taipei City, Taiwan 110","25.0356143, 121.5670983"
夜市老街,晴光市場,台北市中山區中山北路三段15號,"No. 15, Section 3, Zhongshan North Road, Zhongshan District, Taipei City, Taiwan 104","25.0643031, 121.5225728"
夜市老街,迪化街,台北市大同區迪化街一段48號,"No. 48, Section 1, Dihua St, Datong District, Taipei City, Taiwan 103","25.055086, 121.509958"
夜市老街,台北地下街,台北市大同區鄭州路39號,"No. 39, Zhengzhou Road, Datong District, Taipei City, Taiwan 103","25.0496466, 121.5137991"
夜市老街,景美夜市,台北市文山區景美街50號,"No. 50, Jingmei Street, Wenshan District, Taipei City, Taiwan 116","24.9906118, 121.5416618"
