district,address,longitude,latitude,total_price,unit_price,
內湖區,臺北市內湖區文德路1號,121.579713,25.078658,80000,373,
南港區,臺北市南港區南港路二段121號,121.596654,25.054317,55000,508,
南港區,臺北市南港區南港路二段121號,121.596654,25.054317,62000,393,
中山區,臺北市中山區中山北路二段39巷1號,121.524362,25.054133,330000,1437,
內湖區,臺北市內湖區行善路31號,121.575885,25.056589,80000,307,
中山區,臺北市中山區中山北路三段1號,121.522601,25.063948,13000,374,
松山區,臺北市松山區建康路8巷1號,121.5772327,25.04987786,75000,413,
信義區,臺北市信義區莊敬路301號,121.563267,25.028555,87411,1908,
中山區,臺北市中山區遼寧街91號,121.542225,25.050072,58000,1363,
大安區,臺北市大安區光復南路541號,121.557578,25.03158,93000,727,
內湖區,臺北市內湖區環山路二段1號,121.570642,25.086326,26000,321,
中山區,臺北市中山區民生東路二段151號,121.535571,25.058124,255000,1116,
萬華區,臺北市萬華區南寧路31號,121.504737,25.036701,35000,353,
北投區,臺北市北投區明德路151號,121.520619,25.110895,250000,378,
中山區,臺北市中山區林森北路259巷1號,121.52636,25.05407,10000,657,
士林區,臺北市士林區天母東路61號,121.533741,25.118263,120000,699,
松山區,臺北市松山區八德路三段151號,121.554948,25.048209,75000,824,
松山區,臺北市松山區八德路三段151號,121.554948,25.048209,75000,541,
大安區,臺北市大安區忠孝東路四段61號,121.545933,25.041785,150000,1780,
士林區,臺北市士林區大東路1號,121.525227,25.086513,700000,2075,
北投區,臺北市北投區大興街61號,121.50053,25.130659,18000,376,
松山區,臺北市松山區八德路四段481號,121.571246,25.050007,36000,417,
大安區,臺北市大安區光復南路421號,121.557706,25.036337,108000,1064,
大安區,臺北市大安區敦化南路一段177巷1號,121.549736,25.043182,210000,2383,
大安區,臺北市大安區建國南路一段151號,121.537331,25.042048,310000,562,
松山區,臺北市松山區民生東路五段181號,121.564032,25.059548,12000,324,
大安區,臺北市大安區忠孝東路三段216巷1號,121.540634,25.041283,70000,566,
中山區,臺北市中山區敬業一路151號,121.551857,25.08424,40000,381,
內湖區,臺北市內湖區成功路四段1號,121.591206,25.080811,170000,1002,
大安區,臺北市大安區安和路一段91號,121.552717,25.03617,170000,1622,
松山區,臺北市松山區民權東路三段106巷15弄1號,121.545035,25.060074,68112,473,
大安區,臺北市大安區安和路一段61號,121.551661,25.037445,115000,1429,
中正區,臺北市中正區汀州路二段91號,121.518022,25.025473,38000,348,
大同區,臺北市大同區環河北路一段91號,121.50751,25.053144,25000,473,
大同區,臺北市大同區哈密街151號,121.513,25.072997,32000,189,
大安區,臺北市大安區羅斯福路三段271號,121.530695,25.018613,150000,1134,
松山區,臺北市松山區八德路三段155巷20弄1號,121.555341,25.049185,56700,351,
中山區,臺北市中山區錦州街421號,121.542153,25.060307,150000,1323,
信義區,臺北市信義區仁愛路四段452巷1號,121.559362,25.037122,63000,683,
松山區,臺北市松山區民生東路三段113巷7弄1號,121.546364,25.058579,110000,370,
內湖區,臺北市內湖區港墘路1號,121.5785,25.083687,45000,490,
信義區,臺北市信義區忠孝東路五段492巷1號,121.578438,25.040335,37000,644,
中山區,臺北市中山區民權東路二段135巷30弄1號,121.534905,25.064296,30000,412,
內湖區,臺北市內湖區內湖路一段737巷8弄1號,121.578076,25.079604,28000,423,
中山區,臺北市中山區錦州街1號,121.523778,25.060436,24000,360,
中山區,臺北市中山區新生北路一段61號,121.529247,25.049173,68000,455,
信義區,臺北市信義區忠孝東路五段481號,121.577507,25.041016,85000,465,
松山區,臺北市松山區東興路1號,121.565496,25.050632,90000,380,
文山區,臺北市文山區木柵路三段77巷1號,121.566741,24.988945,27000,196,
松山區,臺北市松山區南京東路五段151號,121.562094,25.051808,100000,678,
內湖區,臺北市內湖區康寧路三段151號,121.611539,25.070652,110000,918,
中山區,臺北市中山區中山北路一段121號,121.522515,25.051427,85000,994,
信義區,臺北市信義區松山路511號,121.57816,25.038455,55000,1254,
信義區,臺北市信義區基隆路一段121號,121.566845,25.044768,165000,757,
士林區,臺北市士林區忠誠路一段31號,121.527282,25.104224,280000,346,
士林區,臺北市士林區中山北路七段91號,121.531453,25.122019,58000,496,
內湖區,臺北市內湖區星雲街61號,121.592264,25.079083,40000,529,
中山區,臺北市中山區南京東路二段151號,121.535602,25.052223,186000,1097,
信義區,臺北市信義區永吉路301號,121.567122,25.045724,65000,523,
大安區,臺北市大安區四維路198巷30弄1號,121.545918,25.026749,36000,506,
